Scenario,Position,Total N,Ghanaian N,Ghanaian %,Ghanaian 95% CI,Dual-affiliated N,Dual-affiliated %,Dual-affiliated 95% CI,Non-Ghanaian N,Non-Ghanaian %,Non-Ghanaian 95% CI
All years,First author,24768,6390,25.8,25.3-26.3,4722,19.1,18.6-19.6,13656,55.1,54.5-55.8
All years,Last author,24621,5410,22.0,21.5-22.5,2910,11.8,11.4-12.2,16301,66.2,65.6-66.8
All years,Corresponding author,31119,7623,24.5,24.0-25.0,4849,15.6,15.2-16.0,18647,59.9,59.4-60.5
High-coverage years only,First author,24768,6390,25.8,25.3-26.3,4722,19.1,18.6-19.6,13656,55.1,54.5-55.8
High-coverage years only,Last author,24621,5410,22.0,21.5-22.5,2910,11.8,11.4-12.2,16301,66.2,65.6-66.8
High-coverage years only,Corresponding author,31119,7623,24.5,24.0-25.0,4849,15.6,15.2-16.0,18647,59.9,59.4-60.5
