Funding,Position,N,GH_pct,CI_lo,CI_hi
International (Northern),first,2140,30.654205607476637,28.73689058292847,32.64085045322657
International (Northern),last,2140,22.570093457943923,20.848970891904393,24.389517002354083
Other,first,5889,35.13329937170997,33.92408588903637,36.36189563216988
Other,last,5889,21.31091866191204,20.28390526703144,22.37533605801478
No data,first,12517,47.54334105616362,46.669359465283456,48.418830078345465
No data,last,12517,36.94974834225454,36.10830723154291,37.79919722217366
Ghanaian,first,657,71.5372907153729,67.96945825420111,74.85473145463286
Ghanaian,last,657,48.09741248097412,44.29907162008541,51.91787275192573
