Outcome,Variable,AME,AME_pct,SE,p_value
gh_first,log_author_count,-0.14378175808415428,-14.378175808415428,0.005416070506443574,2.7632657564312256e-155
gh_first,year_centered,0.009616164812223306,0.9616164812223306,0.002704195211970722,0.00037651937138051365
gh_first,year_centered_sq,-0.0001697018019757841,-0.01697018019757841,8.414337801155477e-05,0.04371460580956282
gh_first,has_funding_int,-0.03758604371608675,-3.758604371608675,0.0069579599296555415,6.594716517132044e-08
gh_first,is_oa_int,0.05136348689120499,5.136348689120499,0.008021863683639488,1.5241620854613704e-10
gh_first,bloc_East Asian,-0.08134102784604696,-8.134102784604696,0.016182814951643483,4.998168836068176e-07
gh_first,bloc_Latin American,-0.009436478048696422,-0.9436478048696422,0.07320195542446617,0.8974287127766382
gh_first,bloc_MENA,0.02807669152099942,2.807669152099942,0.03868602082833319,0.46798710033015045
gh_first,bloc_Multi-bloc,-0.21666131094076585,-21.666131094076587,0.011131435680777325,2.221517402827884e-84
gh_first,bloc_Other,-0.09392082637186597,-9.392082637186597,0.05092312323334887,0.06512996394031285
gh_first,bloc_South Asian,-0.12383986688566086,-12.383986688566086,0.02497902248623208,7.131251026332947e-07
gh_first,bloc_Western,-0.02598433754050601,-2.598433754050601,0.010712581194291977,0.015283495329348107
gh_first,"field_Biochemistry, Genetics and Molecular Biology",0.003605199581214479,0.3605199581214479,0.01145664111529092,0.7530030565686642
gh_first,field_Engineering,0.011878803391346874,1.1878803391346873,0.019480656015148944,0.5420113279541277
gh_first,field_Immunology and Microbiology,0.043546266531276794,4.35462665312768,0.014855420558886227,0.0033750477937760626
gh_first,field_Neuroscience,-0.07918851824933144,-7.918851824933144,0.02963171304102984,0.007530530050925245
gh_first,field_Other,0.2548165716209143,25.48165716209143,0.24598373507042465,0.3002449652938005
gh_first,"field_Pharmacology, Toxicology and Pharmaceutics",0.035052031228924904,3.5052031228924903,0.03258898767180561,0.2821155771417886
gh_last,log_author_count,-0.12446794753103585,-12.446794753103585,0.005254350397854699,4.731627267182899e-124
gh_last,year_centered,-0.006927312745376198,-0.6927312745376198,0.0025323032040329486,0.006227084051266686
gh_last,year_centered_sq,0.00034520210368138446,0.034520210368138446,7.892601242847494e-05,1.2213408729353677e-05
gh_last,has_funding_int,-0.06916927863083784,-6.916927863083784,0.00665436446557421,2.6245926562420717e-25
gh_last,is_oa_int,0.06056784087881613,6.056784087881613,0.007641254568728367,2.2554246690000113e-15
gh_last,bloc_East Asian,-0.0871829457953697,-8.71829457953697,0.015334436252845512,1.3047984615082428e-08
gh_last,bloc_Latin American,0.01095211963785996,1.095211963785996,0.06536132311285393,0.866927318983707
gh_last,bloc_MENA,-0.024412621034447045,-2.4412621034447044,0.03425539571794272,0.4760530893592029
gh_last,bloc_Multi-bloc,-0.16355995870049694,-16.355995870049693,0.010408633474900716,1.215203319186618e-55
gh_last,bloc_Other,0.1413614651402569,14.136146514025691,0.04905798907720793,0.003957649726987237
gh_last,bloc_South Asian,0.002304663225723005,0.2304663225723005,0.022543314277257514,0.9185719961074591
gh_last,bloc_Western,-0.04660012006890154,-4.660012006890154,0.009601317050022103,1.2129319878092213e-06
gh_last,"field_Biochemistry, Genetics and Molecular Biology",-0.07535153097530743,-7.535153097530743,0.01163365124575526,9.35443825240274e-11
gh_last,field_Engineering,0.02417133289346092,2.417133289346092,0.01792305814647935,0.17746016111414875
gh_last,field_Immunology and Microbiology,-0.02941158941325139,-2.941158941325139,0.01484715398032641,0.047595976587700276
gh_last,field_Neuroscience,-0.005471717113901075,-0.5471717113901076,0.027075495783903017,0.8398454942937488
gh_last,field_Other,-0.004403142494689614,-0.44031424946896136,0.1833909873992602,0.9808449588620066
gh_last,"field_Pharmacology, Toxicology and Pharmaceutics",-0.013089704442218101,-1.3089704442218102,0.03095218777750805,0.6723676516215947
