Period,N_works,Mean_authors,Mean_countries,first_Ghanaian_pct,first_Ghanaian_n,first_Dual-affiliated_pct,first_Dual-affiliated_n,first_Non-Ghanaian_pct,first_Non-Ghanaian_n,first_total,last_Ghanaian_pct,last_Ghanaian_n,last_Dual-affiliated_pct,last_Dual-affiliated_n,last_Non-Ghanaian_pct,last_Non-Ghanaian_n,last_total,corresponding_Ghanaian_pct,corresponding_Dual-affiliated_pct,corresponding_Non-Ghanaian_pct
Pre-COVID (2000-2019),9675,7.6,3.0,24.5,2373,21.6,2092,53.9,5210,9675,19.9,1918,12.8,1234,67.3,6488,9640,22.6,19.0,58.4
Post-COVID (2020-2025),15093,9.9,3.7,26.6,4017,17.4,2630,56.0,8446,15093,23.3,3492,11.2,1676,65.5,9813,14981,25.5,13.8,60.7
