Variable,OR,95% CI Lower,95% CI Upper,p-value
const,2.616,2.179,3.141,< 0.001
year_centered,1.019,1.011,1.027,< 0.001
country_count,0.689,0.667,0.712,< 0.001
author_count,0.978,0.973,0.984,< 0.001
has_funding_bool,0.784,0.74,0.831,< 0.001
is_oa_bool,1.211,1.136,1.291,< 0.001
covid_era,0.899,0.821,0.985,0.022
bloc_East Asian,0.531,0.468,0.601,< 0.001
bloc_Latin American,0.726,0.403,1.309,0.287
bloc_MENA,0.995,0.749,1.322,0.973
bloc_Multi-bloc,0.646,0.58,0.721,< 0.001
bloc_Other,0.738,0.46,1.183,0.207
bloc_South Asian,0.522,0.425,0.64,< 0.001
bloc_Western,0.853,0.781,0.933,< 0.001
field_Engineering,1.261,1.121,1.419,< 0.001
field_Health Sciences,0.992,0.895,1.1,0.885
field_Immunology and Microbiology,1.162,0.986,1.369,0.073
field_Neuroscience,0.731,0.553,0.966,0.028
field_Other,1.057,0.837,1.335,0.642
